company_name,anime_main_title
Sony Music,Plastic Memories
Crunchyroll,Yowamushi Pedal
Avex Pictures,Your Name
Toho Animation,Rent-a-Girlfriend
Production I.G,Arte
Netflix,Arte
Ufotable,Arte
Netflix,Charlotte
Production I.G,Domestic Girlfriend
Avex Pictures,Domestic Girlfriend
Studio Pierrot,Domestic Girlfriend
Avex Pictures,How Heavy Are the Dumbbells You Lift?
4Kids Entertainment,How Heavy Are the Dumbbells You Lift?
Netflix,Texhnolyze
Media Blasters,Texhnolyze
Netflix,Darling in the Franxx
Madhouse,Bleach
Netflix,Bleach
Trigger,Bleach
Netflix,Grimgar of Fantasy and Ash
Square Enix,Grimgar of Fantasy and Ash
Sony Music,Grimgar of Fantasy and Ash
Crunchyroll,Durarara!!
Trigger,Dorohedoro
Media Blasters,Dorohedoro
Discotek Media,Samurai Champloo
Studio Ghibli,Samurai Champloo
Netflix,Samurai Champloo
Media Blasters,Clannad
NHK,Attack on Titan
Madhouse,Jobless Reincarnation
Trigger,Jobless Reincarnation
NHK,Neon Genesis Evangelion
Ufotable,Trigun
Madhouse,My Next Life as a Villainess
Netflix,My Next Life as a Villainess
NHK,My Next Life as a Villainess
Media Blasters,Noragami
Ufotable,Noragami
Netflix,Noragami
Sony Music,Akiba Maid War
Production I.G,Demon Slayer
Avex Pictures,Demon Slayer
Ufotable,Demon Slayer
Madhouse,Yuri!!! on Ice
Netflix,Mob Psycho 100
Kadokawa,Black Butler
Square Enix,Barakamon
Nozomi Entertainment,Barakamon
Madhouse,Barakamon
Nozomi Entertainment,Tokyo Ghoul
Square Enix,Tokyo Ghoul
Crunchyroll,Eden of the East
NHK,Somali and the Forest Spirit
Media Blasters,Somali and the Forest Spirit
Square Enix,Soul Eater
Discotek Media,Cowboy Bebop
Avex Pictures,Nisekoi
Square Enix,Monogatari Series
4Kids Entertainment,Monogatari Series
Studio Pierrot,Fairy Tail
Nozomi Entertainment,Fairy Tail
Avex Pictures,Fairy Tail
Ufotable,Great Pretender
4Kids Entertainment,Quintessential Quintuplets
Studio Pierrot,Quintessential Quintuplets
Kadokawa,Quintessential Quintuplets
CloverWorks,Steins;Gate
Kadokawa,Steins;Gate
Netflix,Promised Neverland
CloverWorks,A Certain Scientific Railgun
Toho Animation,A Certain Scientific Railgun
Production I.G,A Certain Scientific Railgun
Ufotable,Akame ga Kill!
Netflix,Angel Beats!
Media Blasters,Sword Art Online: Alicization
Production I.G,Sword Art Online: Alicization
Madhouse,Children of the Sea
Studio Ghibli,The Misfit of Demon King Academy
4Kids Entertainment,The Misfit of Demon King Academy
Trigger,The Misfit of Demon King Academy
Trigger,Fruits Basket
Studio Ghibli,Golden Kamuy
NHK,Angels of Death
Trigger,Angels of Death
Kadokawa,Angels of Death
Production I.G,Violet Evergarden
King Records,Akudama Drive
Production I.G,Akudama Drive
Ufotable,Akudama Drive
Studio Ghibli,Saekano
Media Blasters,Saekano
Madhouse,Saekano
Square Enix,Arifureta
NHK,Arifureta
Square Enix,Berserk
Ufotable,Berserk
Studio Pierrot,Berserk
Crunchyroll,That Time I Got Reincarnated as a Slime
Madhouse,Dororo
Sony Music,Dororo
Ufotable,Dororo
Crunchyroll,Ansatsu Kyoushitsu
Ufotable,Ansatsu Kyoushitsu
Studio Pierrot,In/Spectre
Square Enix,In/Spectre
Sony Music,In/Spectre
Trigger,Gintama
Discotek Media,Gintama
Ufotable,Gintama
4Kids Entertainment,Witch Hunter Robin
Toho Animation,Cells at Work
Discotek Media,Konosuba
Discotek Media,Rascal Does Not Dream of Bunny Girl Senpai
CloverWorks,Rascal Does Not Dream of Bunny Girl Senpai
Studio Pierrot,Rascal Does Not Dream of Bunny Girl Senpai
NHK,One Piece
Studio Ghibli,One Piece
Toho Animation,One Piece
Sony Music,Goblin Slayer
Production I.G,Goblin Slayer
Netflix,Carole & Tuesday
Media Blasters,Carole & Tuesday
CloverWorks,Log Horizon
Trigger,Log Horizon
Studio Ghibli,Log Horizon
King Records,Cells at Work: Code Black
Nozomi Entertainment,Cells at Work: Code Black
Production I.G,Cells at Work: Code Black
Netflix,"Love, Chunibyo & Other Delusions"
Netflix,Teasing Master Takagi-san
Toho Animation,Teasing Master Takagi-san
King Records,Megalobox
Discotek Media,Megalobox
NHK,The Melancholy of Haruhi Suzumiya
Square Enix,The Melancholy of Haruhi Suzumiya
Media Blasters,The Melancholy of Haruhi Suzumiya
Discotek Media,Death Note
Toho Animation,Gamers!
Media Blasters,Re:Zero
Discotek Media,Re:Zero
