company_name,company_type,date_established,member_favorites
Madhouse,licensors,1978-11-16,868.0
Discotek Media,licensors,2001-04-02,2750.0
4Kids Entertainment,licensors,2004-07-09,1313.0
Media Blasters,licensors,2003-05-12,1366.0
King Records,licensors,2012-04-20,
Trigger,licensors,1996-10-14,
NHK,licensors,2022-06-13,1815.0
Square Enix,licensors,1983-01-01,
Studio Pierrot,licensors,1987-04-12,2965.0
Kadokawa,licensors,1993-10-23,904.0
Avex Pictures,licensors,2021-06-24,1939.0
Studio Ghibli,licensors,1986-02-09,
Toho Animation,licensors,1991-03-28,
Netflix,licensors,1980-05-05,1897.0
Sony Music,licensors,2008-11-29,1715.0
Crunchyroll,licensors,2018-02-12,837.0
Ufotable,licensors,2008-05-15,
CloverWorks,licensors,1986-08-20,2378.0
Production I.G,licensors,1977-05-06,2131.0
Nozomi Entertainment,licensors,1984-03-17,296.0
Disney+,producers,1983-07-27,
Kyoto Animation,producers,2009-08-12,
Right Stuf,producers,2005-06-15,
Shaft,producers,2008-04-23,2865.0
TV Tokyo,producers,2012-06-14,2826.0
MAPPA,producers,1991-12-12,636.0
Brain's Base,producers,2000-03-24,1745.0
Aniplex,producers,2006-08-28,2175.0
Silver Link,producers,1990-01-31,748.0
Anime Limited,producers,2023-10-08,
AnimEigo,producers,1977-05-14,389.0
J.C. Staff,producers,2016-07-28,480.0
ADV Films,producers,2007-02-27,1166.0
White Fox,producers,2005-07-10,2833.0
Bandai Visual,producers,1977-05-20,1472.0
NBCUniversal Entertainment Japan,producers,1997-05-23,562.0
Hulu,producers,2013-10-02,359.0
Bones,producers,1992-03-26,
Amazon Prime Video,producers,2015-09-22,
VRV,producers,2008-07-19,1528.0
Toei Animation,studios,1982-07-01,
Media Factory,studios,2003-02-21,468.0
GKIDS,studios,2000-06-18,1975.0
Lerche,studios,1995-03-26,
Yomiuri Telecasting,studios,1990-01-12,
Viz Media,studios,2021-08-31,1053.0
NIS America,studios,1987-03-26,
Sunrise,studios,1976-12-31,1777.0
Shueisha,studios,1998-04-24,233.0
Pony Canyon,studios,2018-06-23,
Bushiroad,studios,2004-05-15,1131.0
Kodansha,studios,1982-02-11,1110.0
Madman Entertainment,studios,1986-10-07,2499.0
HIDIVE,studios,2016-06-10,723.0
Shochiku,studios,2019-08-26,207.0
A-1 Pictures,studios,2020-11-03,2502.0
Manga Entertainment,studios,1993-08-12,1758.0
Sentai Filmworks,studios,1991-07-10,
Funimation,studios,2004-01-16,1677.0
P.A. Works,studios,2005-08-22,
