company_name,company_type,date_established,member_favorites
GKIDS,licensors,1990-07-10,2420
Madman Entertainment,licensors,1998-10-15,886
Madhouse,licensors,2021-05-12,633
MAPPA,licensors,1989-05-14,689
Media Blasters,licensors,1988-01-22,1859
Square Enix,licensors,2002-06-27,799
Anime Limited,licensors,1992-07-09,945
Toei Animation,licensors,1983-09-15,2806
Manga Entertainment,licensors,2016-12-19,1445
Shueisha,licensors,1985-08-04,1431
Viz Media,licensors,2005-06-01,1992
Right Stuf,licensors,2000-05-06,2246
Aniplex,licensors,2003-09-02,231
Crunchyroll,licensors,2024-11-23,2194
Trigger,licensors,1989-04-20,2075
Hulu,licensors,1993-11-30,288
P.A. Works,licensors,2002-10-17,185
VRV,licensors,1982-10-03,2588
King Records,licensors,2019-10-14,606
Kodansha,licensors,2003-10-23,278
