main_title,type,total_volumes,total_chapters,date_first_chapter_published,date_last_chapter_published,serializations
Kakushigoto,Web Manga,NULL,NULL,2022-11-25,NULL,Ascii Media Works
Akudama Drive,LN,32.0,194.0,2020-09-03,2024-09-20,"Kadokawa, Shueisha, Kodansha"
Keep Your Hands Off Eizouken!,Manga,NULL,NULL,2014-01-05,NULL,"Ascii Media Works, Shueisha, Shonen Jump"
Teasing Master Takagi-san,LN,NULL,NULL,2023-05-25,NULL,"Kodansha, Ascii Media Works"
Horou Musuko,Manga,6.0,480.0,2023-02-23,2027-05-04,"Shueisha, Shonen Jump, Kadokawa"
"Love, Chunibyo & Other Delusions",Manga,NULL,NULL,2023-08-09,NULL,"Kadokawa, Shonen Jump, Kodansha"
Jobless Reincarnation,Web Manga,15.0,30.0,2007-03-03,2010-12-24,Shueisha
Ergo Proxy,LN,25.0,264.0,2006-06-19,2015-02-21,"Shonen Jump, Shueisha, Ascii Media Works"
Aharen-san wa Hakarenai,LN,NULL,NULL,2008-03-23,NULL,"Shueisha, Ascii Media Works"
The Melancholy of Haruhi Suzumiya,Manga,19.0,485.0,2015-07-03,2023-05-19,Shonen Jump
Fairy Tail: Final Series,Web Manga,9.0,60.0,2023-09-13,2032-06-19,"Shueisha, Ascii Media Works, Kadokawa"
Tower of God,Manga,NULL,NULL,2012-07-30,NULL,"Shonen Jump, Kodansha"
Akiba Maid War,Manga,NULL,NULL,2022-07-28,NULL,"Kodansha, Shueisha"
Grimgar of Fantasy and Ash,Web Manga,NULL,NULL,2024-02-06,NULL,"Shonen Jump, Kodansha"
Banana Fish,One-shot,1.0,1.0,2023-08-27,2023-08-27,Ascii Media Works
Eden of the East,Web Manga,43.0,247.0,2012-11-30,2017-08-17,Shueisha
Somali and the Forest Spirit,One-shot,1.0,1.0,2014-12-16,2014-12-16,"Kodansha, Kadokawa"
Arte,Manga,NULL,NULL,2005-05-27,NULL,"Kodansha, Kadokawa"
Quintessential Quintuplets,One-shot,1.0,1.0,2016-07-06,2016-07-06,Shueisha
Uzaki-chan Wants to Hang Out!,LN,NULL,NULL,2009-04-05,NULL,"Ascii Media Works, Kadokawa, Shueisha"
My Next Life as a Villainess,LN,NULL,NULL,2019-05-20,NULL,"Kodansha, Ascii Media Works, Shonen Jump"
The World God Only Knows,Manga,NULL,NULL,2023-09-18,NULL,Kadokawa
Cells at Work: Code Black,Manga,20.0,214.0,2021-08-26,2025-07-23,"Kodansha, Shonen Jump, Ascii Media Works"
Darwin's Game,Manga,26.0,193.0,2018-07-29,2025-06-04,Kodansha
Combatants Will Be Dispatched!,Manga,NULL,NULL,2024-02-14,NULL,"Kodansha, Kadokawa"
Noblesse,Manga,NULL,NULL,2018-07-21,NULL,"Kadokawa, Shonen Jump"
Baccano!,Web Manga,2.0,373.0,2024-07-03,2027-05-05,"Shonen Jump, Ascii Media Works"
Devilman Crybaby,Web Manga,41.0,305.0,2023-12-11,2026-05-09,"Ascii Media Works, Shonen Jump, Shueisha"
Zombie Land Saga,One-shot,1.0,1.0,2005-07-02,2005-07-02,Kadokawa
How a Realist Hero Rebuilt the Kingdom,Web Manga,NULL,NULL,2013-01-30,NULL,Kadokawa
The Ancient Magus' Bride,Web Manga,36.0,490.0,2015-07-17,2017-09-10,"Shueisha, Shonen Jump, Kodansha"
Parasyte: The Maxim,Web Manga,NULL,NULL,2010-11-21,NULL,Shueisha
Gleipnir,Web Manga,3.0,486.0,2020-04-22,2020-06-28,Ascii Media Works
DanMachi,Web Manga,NULL,NULL,2020-11-10,NULL,"Shueisha, Kodansha, Ascii Media Works"
Tamako Market,Manga,NULL,NULL,2018-05-25,NULL,"Shonen Jump, Ascii Media Works, Shueisha"
Gamers!,Web Manga,7.0,184.0,2009-06-08,2014-08-16,"Shueisha, Kodansha"
Grand Blue,Manga,30.0,146.0,2010-12-21,2014-06-22,Shueisha
In/Spectre,Web Manga,NULL,NULL,2016-07-08,NULL,Kodansha
Witch Hunter Robin,Web Manga,NULL,NULL,2010-01-25,NULL,"Shueisha, Ascii Media Works"
Carole & Tuesday,Web Manga,40.0,305.0,2013-06-18,2021-03-21,"Kadokawa, Ascii Media Works"
Toilet-Bound Hanako-kun,LN,NULL,NULL,2018-11-26,NULL,"Shonen Jump, Shueisha"
Angel Beats!,One-shot,1.0,1.0,2010-05-08,2010-05-08,Shonen Jump
Rascal Does Not Dream of Bunny Girl Senpai,Manga,45.0,151.0,2008-10-27,2011-03-27,"Ascii Media Works, Shonen Jump, Kodansha"
The God of High School,Manga,14.0,290.0,2024-02-04,2025-07-22,"Ascii Media Works, Kodansha, Shonen Jump"
Great Pretender,LN,NULL,NULL,2006-10-20,NULL,Shonen Jump
Samurai Champloo,Manga,8.0,303.0,2017-10-31,2026-09-10,Kodansha
Black Lagoon,Manga,25.0,246.0,2009-05-03,2017-09-14,"Kodansha, Ascii Media Works"
Soul Eater,One-shot,1.0,1.0,2008-09-05,2008-09-05,Kodansha
Cautious Hero,Web Manga,NULL,NULL,2022-07-05,NULL,"Kodansha, Shueisha, Kadokawa"
Log Horizon,Web Manga,NULL,NULL,2011-01-01,NULL,"Shonen Jump, Kodansha"
Arifureta,LN,41.0,383.0,2007-07-21,2007-12-10,Shonen Jump
Children of the Sea,Manga,12.0,226.0,2017-01-04,2025-11-04,"Shonen Jump, Kadokawa, Ascii Media Works"
Sword Art Online: Alicization,Web Manga,3.0,215.0,2005-06-11,2011-10-06,Shonen Jump
Sono Bisque Doll wa Koi wo Suru,Manga,NULL,NULL,2007-03-26,NULL,Kadokawa
Dorohedoro,One-shot,1.0,1.0,2018-07-03,2018-07-03,"Kadokawa, Shonen Jump"
Akame ga Kill!,Web Manga,NULL,NULL,2013-03-12,NULL,"Ascii Media Works, Kadokawa, Shueisha"
A Certain Scientific Railgun,Web Manga,NULL,NULL,2011-03-05,NULL,"Ascii Media Works, Shonen Jump"
Kaguya-sama: Love is War,LN,NULL,NULL,2021-05-01,NULL,"Shueisha, Shonen Jump"
Is It Wrong to Try to Pick Up Girls in a Dungeon?,Web Manga,NULL,NULL,2011-12-22,NULL,Shueisha
Summer Wars,LN,1.0,163.0,2023-04-16,2030-07-11,"Shonen Jump, Kodansha, Ascii Media Works"
Beastars,Web Manga,5.0,174.0,2023-09-21,2025-03-04,Kadokawa
Komi Can't Communicate,One-shot,1.0,1.0,2018-04-30,2018-04-30,Ascii Media Works
Rent-a-Girlfriend,Web Manga,NULL,NULL,2010-01-06,NULL,Ascii Media Works
How Heavy Are the Dumbbells You Lift?,Manga,NULL,NULL,2008-06-07,NULL,Shonen Jump
86 (Eighty-Six),Manga,39.0,247.0,2023-09-10,2027-08-16,"Ascii Media Works, Kadokawa"
Domestic Girlfriend,Web Manga,7.0,41.0,2008-11-23,2017-12-23,"Shueisha, Kodansha"
Classroom of the Elite,Manga,NULL,NULL,2014-03-04,NULL,Kadokawa
Texhnolyze,LN,41.0,281.0,2023-08-29,2026-10-02,"Kadokawa, Kodansha, Shonen Jump"
Yamada-kun and the Seven Witches,LN,20.0,38.0,2023-05-02,2026-11-12,"Kadokawa, Shonen Jump, Kodansha"
The Boy and the Beast,Manga,30.0,463.0,2013-12-31,2019-03-21,"Shueisha, Ascii Media Works, Shonen Jump"
Ascendance of a Bookworm,Manga,NULL,NULL,2005-10-19,NULL,Shonen Jump
Blue Period,Web Manga,22.0,459.0,2020-08-09,2022-02-22,Shonen Jump
Nagatoro,Manga,NULL,NULL,2007-09-09,NULL,"Kadokawa, Shueisha, Kodansha"
Trigun,Manga,NULL,NULL,2005-02-19,NULL,Ascii Media Works
Haganai,LN,NULL,NULL,2017-01-21,NULL,"Shueisha, Kodansha"
Angels of Death,Manga,NULL,NULL,2005-08-23,NULL,"Ascii Media Works, Shonen Jump"
The Misfit of Demon King Academy,Web Manga,14.0,98.0,2009-08-18,2011-01-23,Kadokawa
ReLIFE,LN,NULL,NULL,2014-08-22,NULL,"Shonen Jump, Kadokawa, Shueisha"
Plastic Memories,Web Manga,NULL,NULL,2009-01-19,NULL,"Kadokawa, Shueisha"
