user_username,manga_main_title,read_status,rating
patriciaalvarado,Rent-a-Girlfriend,Completed,3.0
olevy,Haganai,Dropped,3.0
olevy,86 (Eighty-Six),Plan to Read,NULL
olevy,Arte,Plan to Read,7.0
olevy,ReLIFE,On Hold,2.0
olevy,How Heavy Are the Dumbbells You Lift?,Completed,1.0
olevy,The Boy and the Beast,Dropped,6.0
ihunt,The World God Only Knows,On Hold,8.0
ihunt,My Next Life as a Villainess,Completed,4.0
ihunt,Cells at Work: Code Black,Completed,2.0
ihunt,Zombie Land Saga,Plan to Read,8.0
ihunt,Gamers!,Reading,NULL
hernandezsteven,86 (Eighty-Six),Reading,6.0
hernandezsteven,Rent-a-Girlfriend,Dropped,6.0
jacqueline33,Beastars,Dropped,1.0
jacqueline33,Arte,Reading,NULL
dmejia,Beastars,Dropped,7.0
dmejia,A Certain Scientific Railgun,Completed,4.0
dmejia,The Ancient Magus' Bride,Completed,10.0
dmejia,Black Lagoon,Completed,9.0
dmejia,Angels of Death,Reading,NULL
dmejia,Zombie Land Saga,Completed,4.0
dmejia,Domestic Girlfriend,Plan to Read,4.0
jason35,Domestic Girlfriend,Reading,3.0
jason35,Rascal Does Not Dream of Bunny Girl Senpai,Plan to Read,7.0
jason35,The World God Only Knows,Completed,3.0
jason35,Aharen-san wa Hakarenai,On Hold,3.0
jason35,Tamako Market,Plan to Read,7.0
jason35,The Melancholy of Haruhi Suzumiya,Reading,9.0
terri07,Plastic Memories,Dropped,7.0
terri07,Blue Period,Plan to Read,7.0
terri07,Zombie Land Saga,Reading,5.0
terri07,Great Pretender,Completed,5.0
robinsontammy,Darwin's Game,Reading,7.0
robinsontammy,ReLIFE,On Hold,2.0
robinsontammy,Rent-a-Girlfriend,On Hold,9.0
robinsontammy,Black Lagoon,Completed,3.0
josephhuffman,In/Spectre,Reading,9.0
heidirose,The Misfit of Demon King Academy,Dropped,1.0
heidirose,Horou Musuko,Dropped,NULL
heidirose,86 (Eighty-Six),Reading,6.0
heidirose,Kaguya-sama: Love is War,Completed,7.0
heidirose,Witch Hunter Robin,Dropped,6.0
heidirose,Samurai Champloo,Completed,NULL
ddiaz,Black Lagoon,Reading,7.0
ddiaz,Horou Musuko,Reading,4.0
ddiaz,Kaguya-sama: Love is War,Plan to Read,1.0
ddiaz,Grand Blue,Reading,7.0
ddiaz,Arifureta,On Hold,3.0
samantha23,The Ancient Magus' Bride,Dropped,2.0
samantha23,Gleipnir,On Hold,NULL
samantha23,Devilman Crybaby,Dropped,5.0
samantha23,How Heavy Are the Dumbbells You Lift?,Completed,3.0
pabbott,Carole & Tuesday,Dropped,8.0
pabbott,Quintessential Quintuplets,Dropped,3.0
pabbott,Parasyte: The Maxim,Plan to Read,4.0
pabbott,Blue Period,Reading,7.0
pabbott,Log Horizon,Reading,10.0
daniel63,Sword Art Online: Alicization,Plan to Read,10.0
daniel63,Soul Eater,Reading,4.0
daniel63,Eden of the East,On Hold,7.0
brangel,Cautious Hero,Completed,8.0
steven07,"Love, Chunibyo & Other Delusions",Reading,NULL
steven07,Tower of God,Reading,6.0
steven07,Darwin's Game,Completed,NULL
steven07,DanMachi,Reading,4.0
steven07,Somali and the Forest Spirit,On Hold,7.0
steven07,The Boy and the Beast,Completed,6.0
steven07,Black Lagoon,Dropped,2.0
xdavis,Domestic Girlfriend,Plan to Read,4.0
bradleyedward,Baccano!,Plan to Read,NULL
millererica,Kakushigoto,Dropped,7.0
dmccormick,Beastars,Dropped,2.0
dmccormick,Sword Art Online: Alicization,Completed,5.0
dmccormick,The Boy and the Beast,Dropped,8.0
dmccormick,How Heavy Are the Dumbbells You Lift?,Reading,8.0
dmccormick,Rent-a-Girlfriend,Plan to Read,NULL
dmccormick,The World God Only Knows,Plan to Read,5.0
dmccormick,Angels of Death,Completed,9.0
shannonjoshua,86 (Eighty-Six),Plan to Read,6.0
shannonjoshua,Domestic Girlfriend,On Hold,8.0
shannonjoshua,Cells at Work: Code Black,Plan to Read,NULL
shannonjoshua,Yamada-kun and the Seven Witches,Reading,1.0
shannonjoshua,Is It Wrong to Try to Pick Up Girls in a Dungeon?,Completed,5.0
shannonjoshua,The Misfit of Demon King Academy,On Hold,6.0
shannonjoshua,DanMachi,On Hold,2.0
donaldperez,How Heavy Are the Dumbbells You Lift?,On Hold,NULL
donaldperez,Tamako Market,Reading,6.0
donaldperez,Somali and the Forest Spirit,Completed,8.0
donaldperez,Rent-a-Girlfriend,Completed,10.0
donaldperez,Noblesse,Completed,3.0
donaldperez,Aharen-san wa Hakarenai,Dropped,4.0
donaldperez,Sono Bisque Doll wa Koi wo Suru,On Hold,9.0
srobinson,Akudama Drive,On Hold,5.0
srobinson,Jobless Reincarnation,Plan to Read,8.0
srobinson,Yamada-kun and the Seven Witches,Dropped,7.0
srobinson,Somali and the Forest Spirit,On Hold,6.0
srobinson,Kaguya-sama: Love is War,Completed,5.0
michaelgarcia,ReLIFE,Completed,4.0
michaelgarcia,Rent-a-Girlfriend,Plan to Read,4.0
michaelgarcia,Fairy Tail: Final Series,Completed,NULL
michaelgarcia,Akame ga Kill!,Plan to Read,2.0
michaelgarcia,Nagatoro,Dropped,8.0
michaelgarcia,How Heavy Are the Dumbbells You Lift?,Completed,NULL
tcollins,Witch Hunter Robin,Reading,10.0
tcollins,My Next Life as a Villainess,Reading,10.0
tcollins,Is It Wrong to Try to Pick Up Girls in a Dungeon?,Reading,9.0
milleranita,ReLIFE,On Hold,NULL
milleranita,The Ancient Magus' Bride,Plan to Read,2.0
cchen,The Melancholy of Haruhi Suzumiya,On Hold,8.0
cchen,Darwin's Game,Plan to Read,10.0
cchen,Is It Wrong to Try to Pick Up Girls in a Dungeon?,Plan to Read,3.0
cchen,How a Realist Hero Rebuilt the Kingdom,Completed,NULL
scott33,Combatants Will Be Dispatched!,Dropped,3.0
scott33,Log Horizon,Dropped,3.0
scott33,Nagatoro,Completed,10.0
scott33,Rascal Does Not Dream of Bunny Girl Senpai,Reading,4.0
scott33,Ergo Proxy,On Hold,NULL
jimenezjohn,Komi Can't Communicate,Dropped,1.0
jimenezjohn,In/Spectre,Dropped,6.0
thomasjames,Carole & Tuesday,On Hold,9.0
thomasjames,Noblesse,Plan to Read,1.0
mcgeekenneth,Darwin's Game,Plan to Read,NULL
mcgeekenneth,Yamada-kun and the Seven Witches,Reading,2.0
mcgeekenneth,The Misfit of Demon King Academy,On Hold,7.0
mcgeekenneth,Samurai Champloo,Dropped,2.0
mcgeekenneth,Cautious Hero,On Hold,5.0
villanuevabrittany,Zombie Land Saga,Dropped,7.0
villanuevabrittany,Witch Hunter Robin,Completed,6.0
villanuevabrittany,Nagatoro,Dropped,6.0
villanuevabrittany,Toilet-Bound Hanako-kun,Plan to Read,6.0
villanuevabrittany,Komi Can't Communicate,Reading,10.0
villanuevabrittany,Akame ga Kill!,Reading,8.0
jnelson,The Boy and the Beast,Reading,10.0
jnelson,Horou Musuko,Plan to Read,NULL
fryan,Noblesse,On Hold,9.0
fryan,Sword Art Online: Alicization,Plan to Read,9.0
fryan,Fairy Tail: Final Series,On Hold,5.0
fryan,ReLIFE,Reading,1.0
lori88,Rascal Does Not Dream of Bunny Girl Senpai,Completed,2.0
charles17,Akudama Drive,Plan to Read,6.0
charles17,The Melancholy of Haruhi Suzumiya,Plan to Read,NULL
charles17,Parasyte: The Maxim,On Hold,6.0
scottholmes,Rascal Does Not Dream of Bunny Girl Senpai,Plan to Read,3.0
scottholmes,Somali and the Forest Spirit,On Hold,9.0
scottholmes,Darwin's Game,Dropped,9.0
scottholmes,Baccano!,On Hold,5.0
scottholmes,Grand Blue,Dropped,6.0
lopezchristine,Teasing Master Takagi-san,Completed,6.0
leraymond,Sono Bisque Doll wa Koi wo Suru,Dropped,10.0
leraymond,Sword Art Online: Alicization,Reading,6.0
leraymond,Toilet-Bound Hanako-kun,Completed,NULL
leraymond,Quintessential Quintuplets,On Hold,9.0
kellieholmes,Kaguya-sama: Love is War,Plan to Read,1.0
kellieholmes,Eden of the East,On Hold,10.0
kellieholmes,Gleipnir,Dropped,NULL
kellieholmes,Rent-a-Girlfriend,Dropped,1.0
kellieholmes,Beastars,On Hold,NULL
kellieholmes,Grimgar of Fantasy and Ash,Plan to Read,NULL
kellieholmes,Summer Wars,Plan to Read,NULL
