company_name,company_type,date_established,member_favorites
Brain's Base,producers,1982-08-12,795
Bushiroad,producers,1983-04-22,1197
4Kids Entertainment,producers,1985-07-31,290
Good Smile Company,producers,1998-03-26,2388
A-1 Pictures,producers,1991-11-02,2714
Studio Ghibli,producers,2015-02-27,731
Shaft,producers,2007-03-15,897
Sony Music,producers,1981-01-10,1142
Nozomi Entertainment,producers,1998-02-01,178
J.C. Staff,producers,2000-01-29,2295
ADV Films,producers,1982-05-14,1964
NIS America,producers,2002-02-10,1535
CloverWorks,producers,2018-07-02,769
Kyoto Animation,producers,1988-11-09,2235
Funimation,producers,1997-06-18,683
Netflix,producers,2024-08-31,2822
Ufotable,producers,2000-03-15,483
AnimEigo,producers,2011-05-25,392
Discotek Media,producers,1983-02-20,1596
Avex Pictures,producers,1986-01-14,1765
